collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024351411975,2024,351411975,2,1,1,2,25,5,3,0,0,0,0,0,1,6,E01035515,3,1,0.0,1.0,1
2024351473739,2024,351473739,2,2,1,1,53,8,2,0,0,0,0,0,9,9,E01018012,6,1,1.0,0.0,1
2020350943491,2020,350943491,2,1,1,1,30,6,2,0,0,0,0,0,5,6,E01018106,6,1,1.0,0.0,-1
2024351463264,2024,351463264,2,1,1,1,43,7,2,0,0,0,0,0,1,7,E01017969,5,1,1.0,0.0,1
2023351349960,2023,351349960,2,2,2,1,43,7,2,0,0,2,0,0,9,-1,-1,6,1,1.0,0.0,-1
2024351497156,2024,351497156,2,4,2,2,81,11,2,0,0,1,0,0,9,3,E01026684,6,1,1.0,0.0,4
2022351225666,2022,351225666,2,1,1,1,25,5,3,0,0,0,0,0,90,3,E01017952,3,1,0.0,1.0,-1
2022351188837,2022,351188837,2,1,1,1,19,4,2,0,0,0,0,0,1,8,E01023315,7,1,1.0,0.0,-1
2024351438597,2024,351438597,1,1,1,1,44,7,2,0,0,0,0,0,97,5,E01018273,7,1,1.0,0.0,1
2023351301955,2023,351301955,2,1,1,1,38,7,3,0,0,0,0,0,1,9,E01018012,3,1,0.0,1.0,-1
2021351068159,2021,351068159,2,1,1,1,56,9,2,0,0,0,0,0,5,5,E01018102,7,1,1.0,0.0,-1
2020350930691,2020,350930691,2,1,2,2,32,6,3,0,0,0,0,0,9,3,E01017978,3,1,0.0,1.0,-1
2024351455688,2024,351455688,2,1,1,2,32,6,3,0,0,0,0,0,9,7,E01018000,3,1,0.0,1.0,1
2022351130681,2022,351130681,2,2,2,1,18,4,3,0,0,2,0,0,9,6,E01017967,3,1,0.0,1.0,-1
2023351318646,2023,351318646,1,1,3,2,43,7,3,10,9,0,0,0,0,9,E01017988,3,1,0.0,1.0,-1
2020350967375,2020,350967375,2,4,1,1,31,6,3,0,0,0,0,0,9,7,E01016777,3,1,0.0,1.0,-1
2022351198077,2022,351198077,2,1,1,1,43,7,3,0,0,0,0,0,1,10,E01018256,3,1,0.0,1.0,-1
2021351095868,2021,351095868,2,2,1,1,31,6,3,0,0,0,0,0,1,8,E01017966,3,1,0.0,1.0,-1
2020350963849,2020,350963849,2,1,1,1,22,5,3,0,0,0,0,0,1,8,E01018003,3,1,0.0,1.0,-1
2024351473771,2024,351473771,2,1,1,2,53,8,2,0,0,0,0,0,1,5,E01017961,7,1,1.0,0.0,1
2024351503383,2024,351503383,2,2,2,2,26,6,3,0,0,1,0,0,9,8,E01018242,3,1,0.0,1.0,1
2023351391032,2023,351391032,2,1,1,2,29,6,3,0,0,0,0,0,9,5,E01017997,3,1,0.0,1.0,-1
2022351218379,2022,351218379,2,1,1,1,79,11,3,0,0,0,0,0,9,9,E01018013,3,1,0.0,1.0,-1
2024351427882,2024,351427882,1,1,1,1,48,8,3,0,0,0,0,0,9,5,E01018304,3,1,0.0,1.0,2
2023351387807,2023,351387807,2,1,1,2,62,9,3,0,0,0,0,0,1,6,E01018005,3,1,0.0,1.0,-1
2020350968809,2020,350968809,1,1,1,1,90,11,3,0,0,0,0,0,9,-1,-1,3,1,0.0,1.0,-1
2023351363445,2023,351363445,1,1,3,1,53,8,3,1,9,0,0,0,0,-1,-1,3,1,0.0,1.0,-1
2021351087080,2021,351087080,2,1,1,2,68,10,3,0,0,0,0,0,1,7,E01017980,3,1,0.0,1.0,-1
2023351298261,2023,351298261,2,1,1,1,81,11,2,0,0,0,0,0,1,6,E01017951,7,1,1.0,0.0,-1
2023351364700,2023,351364700,2,1,1,2,31,6,3,0,0,0,0,0,1,3,E01017977,3,1,0.0,1.0,-1
2022351247495,2022,351247495,2,1,1,1,23,5,3,0,0,0,0,0,1,8,E01018001,3,1,0.0,1.0,-1
2023351382306,2023,351382306,1,1,1,2,61,9,2,0,0,0,0,0,9,3,E01017978,7,1,1.0,0.0,-1
2024351409293,2024,351409293,1,1,1,1,45,7,3,0,0,0,0,0,9,6,E01002497,3,1,0.0,1.0,4
2023351351532,2023,351351532,1,3,3,1,60,9,3,6,9,0,0,0,0,7,E01029885,3,1,0.0,1.0,-1
2021351125367,2021,351125367,2,3,1,2,33,6,3,0,0,0,0,0,9,10,E01018198,3,1,0.0,1.0,-1
2021351117118,2021,351117118,1,1,1,2,52,8,3,0,0,0,0,0,9,10,E01018248,3,1,0.0,1.0,-1
2020350991227,2020,350991227,1,1,3,2,26,6,3,1,3,0,0,0,0,8,E01017966,3,1,0.0,1.0,-1
2022351248791,2022,351248791,2,1,1,1,56,9,3,0,0,0,0,0,9,10,E01017955,3,1,0.0,1.0,-1
2020351030609,2020,351030609,2,1,1,2,20,4,3,0,0,0,0,0,9,4,E01013758,3,1,0.0,1.0,-1
2020351009587,2020,351009587,2,1,1,1,10,2,2,0,0,0,0,0,1,10,E01018274,7,1,1.0,0.0,-1
2022351217508,2022,351217508,2,1,1,2,17,4,3,0,0,0,0,0,1,9,E01018008,3,1,0.0,1.0,-1
2022351183260,2022,351183260,2,2,2,1,40,7,3,0,0,2,0,0,9,9,E01015681,3,1,0.0,1.0,-1
2022351201049,2022,351201049,2,1,1,1,48,8,3,0,0,0,0,0,1,8,E01017992,3,1,0.0,1.0,-1
2020350967375,2020,350967375,1,3,2,1,6,2,3,0,0,2,0,0,9,4,E01017947,3,1,0.0,1.0,-1
2022351248219,2022,351248219,2,1,1,1,19,4,3,0,0,0,0,0,1,9,E01017958,3,1,0.0,1.0,-1
2022351190517,2022,351190517,1,1,1,1,19,4,2,0,0,0,0,0,1,6,E01017967,7,1,1.0,0.0,-1
2022351249266,2022,351249266,2,2,1,1,44,7,3,0,0,0,0,0,19,4,E01000471,3,1,0.0,1.0,-1
2021351038762,2021,351038762,2,1,1,1,24,5,2,0,0,0,0,0,1,9,E01017998,7,1,1.0,0.0,-1
2023351287026,2023,351287026,2,1,1,2,26,6,2,0,0,0,0,0,1,8,E01018000,7,1,1.0,0.0,-1
2024351437871,2024,351437871,2,1,2,2,55,8,3,0,0,1,0,0,9,9,E01018278,3,1,0.0,1.0,3
2022351154208,2022,351154208,2,1,1,2,26,6,3,0,0,0,0,0,1,7,E01018294,3,1,0.0,1.0,-1
2021351071016,2021,351071016,1,1,1,1,58,9,3,0,0,0,0,0,9,6,E01015653,3,1,0.0,1.0,-1
2021351035952,2021,351035952,1,1,1,1,83,11,3,0,0,0,0,0,9,10,E01018303,3,1,0.0,1.0,-1
2020350950721,2020,350950721,1,1,3,1,35,6,2,5,3,0,0,0,0,-1,-1,7,1,1.0,0.0,-1
2024351514799,2024,351514799,1,1,1,1,17,4,3,0,0,0,0,0,3,4,E01017535,3,1,0.0,1.0,4
2022351232488,2022,351232488,1,2,2,1,-1,-1,3,0,0,1,0,0,9,-1,-1,3,1,0.0,1.0,-1
2023351277542,2023,351277542,2,1,1,1,36,7,3,0,0,0,0,0,-1,9,E01018010,3,1,0.0,1.0,-1
2020350944841,2020,350944841,3,5,2,2,75,10,3,0,0,1,0,0,9,6,E01018281,3,1,0.0,1.0,-1
2021351100727,2021,351100727,1,1,3,2,22,5,2,9,8,0,0,0,0,2,E01017946,7,1,1.0,0.0,-1
2024351451925,2024,351451925,2,1,1,2,26,6,3,0,0,0,0,0,1,8,E01035513,3,1,0.0,1.0,1
2020350930811,2020,350930811,2,1,1,2,39,7,3,0,0,0,0,0,1,5,E01018009,3,1,0.0,1.0,-1
2022351280931,2022,351280931,2,1,1,2,64,9,2,0,0,0,0,0,9,7,E01018165,6,1,1.0,0.0,-1
2024351515661,2024,351515661,2,1,2,2,53,8,3,0,0,1,0,0,9,9,E01027289,3,1,0.0,1.0,4
2024351491014,2024,351491014,2,1,1,1,20,4,3,0,0,0,0,0,1,9,E01018008,3,1,0.0,1.0,1
2021351046372,2021,351046372,2,1,1,1,21,5,3,0,0,0,0,0,1,5,E01017997,3,1,0.0,1.0,-1
2024351436053,2024,351436053,2,1,1,1,48,8,2,0,0,0,0,0,1,5,E01017954,7,1,1.0,0.0,1
2022351137518,2022,351137518,2,1,1,2,32,6,2,0,0,0,0,0,1,5,E01017945,6,1,1.0,0.0,-1
2024351526992,2024,351526992,2,1,1,2,15,3,3,0,0,0,0,0,1,6,E01017994,3,1,0.0,1.0,1
2023351309227,2023,351309227,2,2,1,1,78,11,2,0,0,0,0,0,9,9,E01018032,6,1,1.0,0.0,-1
2021351097534,2021,351097534,2,1,1,1,53,8,3,0,0,0,0,0,97,2,E01017946,3,1,0.0,1.0,-1
2023351280912,2023,351280912,2,1,1,1,27,6,3,0,0,0,0,0,1,9,E01017998,3,1,0.0,1.0,-1
2020350994190,2020,350994190,2,1,1,1,47,8,3,0,0,0,0,0,1,8,E01018286,3,1,0.0,1.0,-1
2022351235196,2022,351235196,1,1,1,2,60,9,3,0,0,0,0,0,9,10,E01022085,3,1,0.0,1.0,-1
2021351132082,2021,351132082,1,1,1,2,66,10,2,0,0,0,0,0,9,8,E01017992,5,1,1.0,0.0,-1
2024351413230,2024,351413230,2,1,1,2,35,6,3,0,0,0,0,0,1,8,E01035518,3,1,0.0,1.0,1
2022351172212,2022,351172212,2,1,2,2,20,4,3,0,0,2,0,0,9,8,E01018257,3,1,0.0,1.0,-1
2021351024142,2021,351024142,1,1,3,2,50,8,3,6,9,0,0,0,0,5,E01018009,3,1,0.0,1.0,-1
